Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
58;QUC 3619-2020;R-003_Plot-058;0.5043649;24.280357;0.19438952;55.079754;6.524869;23.280897;22.024559;25.740608;1.55E-04;0;100
59;QUC 3534-2018;R-003_Plot-059;0.553708;29.103498;0.20262468;60.65559;4.48141;26.42184;20.832613;30.221949;3.13E-04;0;100
60;QUC 3312-2019;R-003_Plot-060;0.52522033;25.981506;0.21380597;57.562782;6.7602806;25.937101;23.89505;28.728132;0;0;NaN
61;QUC 4535-2021;R-003_Plot-061;0.5209357;25.746685;0.21157056;57.081367;6.7485857;25.548689;23.64513;28.26681;1.57E-04;0;100
62;QUC 3702-2020;R-003_Plot-062;0.51235586;24.386267;0.20299065;55.982777;7.037854;24.312103;23.405626;26.80207;1.57E-04;0;100
63;QUC 3617-2020;R-003_Plot-063;0.46025226;26.0391;0.23971272;51.123787;7.2305846;25.420124;23.646368;26.936453;3.16E-04;0;100
64;QUC 3653-2020;R-003_Plot-064;0.5352655;26.954073;0.21313739;58.681217;6.199575;26.392136;23.337214;29.48911;0;0;NaN
65;QUC 3532-2018;R-003_Plot-065;0.5691783;29.752863;0.2107349;62.383575;4.561032;27.86601;21.785318;31.937166;1.58E-04;0;100
66;QUC 3593-2017;R-003_Plot-066;0.55770093;29.760159;0.22883463;61.447235;5.301108;29.105904;23.43605;32.82821;1.58E-04;0;100
67;QUC 3555-2017  ;R-003_Plot-067;0.5533586;28.211462;0.21786505;60.704197;5.7843037;27.69809;23.487677;31.215136;3.19E-04;0;100
68;QUC 4425-2021;R-003_Plot-068;0.507713;26.319632;0.21624935;55.835384;6.4815545;25.500536;23.069109;28.059208;1.59E-04;0;100
69;QUC 4542-2021;R-003_Plot-069;0.5488381;29.942488;0.23493499;60.64208;5.3878355;29.31678;23.585133;32.861694;1.59E-04;0;100
70;QUC 3221-2020;R-003_Plot-070;0.55633193;27.981266;0.21531415;60.951687;5.837419;27.55464;23.53087;31.105642;3.22E-04;0;100
71;QUC 3413-2020;R-003_Plot-071;0.49383935;26.6441;0.22457534;54.528652;6.518534;25.688438;23.067234;27.995245;1.61E-04;0;100
72;QUC 3210-2020;R-003_Plot-072;0.5367866;28.031324;0.2091626;58.905453;5.315707;26.238005;21.89464;29.565737;0;0;NaN
73;QUC 3556-2018;R-003_Plot-073;0.5195419;26.885105;0.21027243;57.042698;5.92964;25.522358;22.341484;28.409653;1.61E-04;0;100
74;QUC 3677-2020;R-003_Plot-074;0.5177879;27.421196;0.21216321;56.938385;5.660882;25.682648;21.983156;28.606049;1.62E-04;0;100
75;QUC 3517-2017;R-003_Plot-075;0.5807218;30.644552;0.21055096;63.64;4.073542;28.402473;21.373547;32.791744;3.25E-04;0;100
76;QUC 3592-2020;R-004_Plot-076;0.5606211;29.463715;0.22203547;61.629463;5.2107706;28.55411;23.060266;32.343536;1.62E-04;0;100
77;QUC 3425-2020;R-004_Plot-077;0.50984985;26.289507;0.2186076;56.07765;6.628926;25.783812;23.456825;28.345335;0;0;NaN
78;LLEUQUE-INIA;R-004_Plot-078;0.5524966;28.75136;0.20883888;60.569023;4.990544;26.90224;21.849758;30.57718;3.22E-04;0;100
79;QUC 3522-2022;R-004_Plot-079;0.54129833;27.687933;0.21462083;59.389072;5.854665;26.864769;23.082426;30.150896;1.61E-04;0;100
80;QUC 4592-2021;R-004_Plot-080;0.5029078;25.84392;0.20259738;55.161373;6.0041413;24.103453;21.607311;26.67865;3.22E-04;0;100
81;QUC 3603-2020;R-004_Plot-081;0.5458231;29.471428;0.21870875;60.08662;4.9264174;27.6482;22.04334;31.242521;3.22E-04;0;100
82;QUC 3616-2020;R-004_Plot-082;0.55159587;27.785257;0.20919043;60.38169;5.6053076;26.778503;22.746761;30.290033;3.19E-04;0;100
83;QUC 3606-2020;R-004_Plot-083;0.57427883;28.803598;0.20503551;62.725796;4.951877;27.38488;22.214642;31.428997;1.59E-04;0;100
84;QUC 4552-2021;R-004_Plot-084;0.5248537;27.239384;0.2128138;57.647774;5.8838873;25.99578;22.55015;28.98858;4.78E-04;0;100
85;QUC 3555-2017  ;R-004_Plot-085;0.5371564;27.593462;0.21751362;58.990253;6.0210323;26.940493;23.339592;30.119284;1.58E-04;0;100
86;QUC 3582-2020;R-004_Plot-086;0.5187138;27.604046;0.21711582;57.105145;5.80871;26.181889;22.460844;29.090765;1.58E-04;0;100
87;QUC 3678-2020;R-004_Plot-087;0.5708894;28.268112;0.20286304;62.303375;5.1451263;26.990337;22.298368;30.921116;3.13E-04;0;100
88;QUC 3625-2020;R-004_Plot-088;0.5292124;26.83505;0.21396738;58.064037;6.2523465;26.221098;23.277544;29.202713;0;0;NaN
89;QUC 3401-2020;R-004_Plot-089;0.52228963;26.337866;0.21501398;57.318436;6.559801;25.973558;23.569574;28.764254;0;0;NaN
90;QUC 3543-2020;R-004_Plot-090;0.52885693;25.588703;0.19843823;57.738415;6.209241;24.681257;22.458803;27.633419;0;0;NaN
91;QUC 3632-2021;R-004_Plot-091;0.5206884;24.972551;0.20136172;56.875656;6.6743712;24.552937;23.041656;27.26559;4.70E-04;0;100
92;QUC 4600-2021;R-004_Plot-092;0.5289701;26.288857;0.19314009;57.764687;5.501547;24.30191;21.173916;27.407871;0;0;NaN
93;QUC 3584-2018;R-004_Plot-093;0.4557601;23.737457;0.20976979;50.158463;7.0782633;22.61285;22.027788;24.14408;1.55E-04;0;100
94;QUC 4605-2021;R-004_Plot-094;0.50540286;25.97432;0.20290458;55.43313;5.959838;24.246534;21.632742;26.8746;1.55E-04;0;100
95;QUC 3521-2020;R-004_Plot-095;0.55853957;27.780533;0.19454515;60.916813;4.924042;25.691843;21.212803;29.434309;3.11E-04;0;100
96;QUC 3525-2022;R-004_Plot-096;0.49972066;25.894312;0.20091492;54.824276;5.836603;23.84987;21.194647;26.40767;3.11E-04;0;100
97;QUC 3326-2019;R-004_Plot-097;0.5525061;26.448473;0.19145995;60.141438;5.52571;25.02113;21.773521;28.503565;1.54E-04;0;100
98;QUC 3317-2019;R-004_Plot-098;0.52348137;25.464552;0.19796598;57.17638;6.2038894;24.43052;22.276539;27.293058;1.54E-04;0;100
99;QUC 3547-2022;R-004_Plot-099;0.546781;27.159626;0.1978085;59.703453;5.3803153;25.47621;21.718628;28.925055;3.08E-04;0;100
100;QUC 4598-2021;R-004_Plot-100;0.54393023;26.842505;0.1900537;59.30237;5.132535;24.644749;20.900677;28.074602;0;0;NaN
101;QUC 3518-2022;R-005_Plot-101;0.5128641;27.718113;0.21182674;56.46071;5.419215;25.505192;21.474737;28.40058;3.08E-04;0;100
102;QUC 3524-2022;R-005_Plot-102;0.5451831;27.863024;0.20010221;59.639675;5.0531144;25.72144;21.312511;29.230812;3.08E-04;0;100
103;QUC 3414-2020;R-005_Plot-103;0.5788124;29.436457;0.20099372;63.199463;4.373651;27.260046;21.281296;31.505804;1.54E-04;0;100
104;QUC 3544-2020;R-005_Plot-104;0.53218144;27.942507;0.21172851;58.455627;5.4501886;26.275715;22.07891;29.496637;0;0;NaN
