Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
229;QUC 3611-2020;464;44.9131;1.4381;41.4769;48.3889;100;-3.40E+38;3.40E+38
230;QUC 3212-2020;462;46.804;1.8749;42.5014;53.9278;100;-3.40E+38;3.40E+38
231;QUC 3672-2018  ;462;45.1891;2.5258;40.7331;54.0945;100;-3.40E+38;3.40E+38
232;QUC 3406-2020;471;45.4738;2.3301;41.127;52.4512;100;-3.40E+38;3.40E+38
233;QUC 3606-2021;476;46.4638;2.269;39.9714;54.2297;100;-3.40E+38;3.40E+38
234;QUC 3316-2019;480;44.7745;1.5685;40.779;49.049;100;-3.40E+38;3.40E+38
235;UC-1218;480;45.2875;2.0261;41.2859;51.4311;100;-3.40E+38;3.40E+38
236;QUC 3529-2022;480;46.4194;2.2554;41.4434;53.5365;100;-3.40E+38;3.40E+38
237;QUC 4255-2021;472;47.5565;2.2617;43.3262;54.1023;100;-3.40E+38;3.40E+38
238;QUC 3223-2020;480;44.5481;2.1243;39.297;50.6238;100;-3.40E+38;3.40E+38
239;QUC 3218-2020;480;45.381;1.4062;41.1484;49.4494;100;-3.40E+38;3.40E+38
240;QUC 3546-2020;480;45.5445;2.506;40.5425;52.7848;100;-3.40E+38;3.40E+38
241;QUC 4538-2021;472;45.032;2.312;40.4346;53.3905;100;-3.40E+38;3.40E+38
242;QUC 4561-2021;480;46.2596;1.9403;41.9378;51.5881;100;-3.40E+38;3.40E+38
243;QUC 3562-2020;480;45.2259;2.4285;40.3055;52.265;100;-3.40E+38;3.40E+38
244;QUC 3420-2020;488;43.5344;2.0831;40.0443;49.5064;100;-3.40E+38;3.40E+38
245;QUC 3532-2018  ;496;43.7903;2.0812;39.7823;50.7883;100;-3.40E+38;3.40E+38
246;QUC 3213-2020;495;43.5417;1.6295;39.3228;48.1433;100;-3.40E+38;3.40E+38
247;QUC 3662-2020;496;44.7183;1.9891;41.1395;51.6828;100;-3.40E+38;3.40E+38
248;QUC 4255-2021;496;43.2834;2.4647;39.7256;51.4947;100;-3.40E+38;3.40E+38
249;QUC 3523-2022;495;44.5293;2.378;39.8606;53.1333;100;-3.40E+38;3.40E+38
250;QUC 3639-2020;485;42.647;2.084;39.2329;48.785;100;-3.40E+38;3.40E+38
251;QUC 4596-2021;492;42.8267;1.9488;39.2988;48.8478;100;-3.40E+38;3.40E+38
252;QUC 4544-2021;496;44.6328;2.2509;39.9395;53.3209;100;-3.40E+38;3.40E+38
253;QUC 3585-2020;496;47.0822;1.3835;43.7243;51.6637;100;-3.40E+38;3.40E+38
254;QUC 3454-2017;496;44.8838;2.4808;39.6997;51.227;100;-3.40E+38;3.40E+38
255;QUC 3225-2020;416;40.7911;1.2111;39.2272;45.7836;100;-3.40E+38;3.40E+38
256;QUC 3615-2020;481;41.6296;1.6024;39.2405;47.769;100;-3.40E+38;3.40E+38
257;QUC 3633-2020;488;44.2898;1.5512;41.178;49.7157;100;-3.40E+38;3.40E+38
258;QUC 3448-2017  ;480;44.7045;2.1843;39.4463;49.4022;100;-3.40E+38;3.40E+38
259;QUC 3328-2019  ;480;45.7275;1.5472;42.503;52.9261;100;-3.40E+38;3.40E+38
260;QUC 3623-2020;480;44.3387;1.5285;41.1738;49.2605;100;-3.40E+38;3.40E+38
261;QUC 3586-2020;480;44.7423;1.886;40.332;50.2154;100;-3.40E+38;3.40E+38
262;QUC 3678-2016;478;43.4869;1.7225;39.3152;50.9802;100;-3.40E+38;3.40E+38
263;QUC 3424-2020;480;43.2419;1.3897;40.0362;47.2256;100;-3.40E+38;3.40E+38
264;QUC 3208-2020;476;46.0454;2.2409;41.0596;54.1794;100;-3.40E+38;3.40E+38
265;QUC 3531-2018  ;473;43.6589;2.6749;39.3495;53.962;100;-3.40E+38;3.40E+38
266;QUC 3678-2016  ;472;42.6643;1.6911;39.3194;47.8584;100;-3.40E+38;3.40E+38
267;QUC 3604-2020;480;44.0398;1.9901;40.5446;50.4713;100;-3.40E+38;3.40E+38
