Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
468;QUC 3532-2018;R-019_Plot-468;0.45027736;51.133694;0.3771664;54.700607;-5.891198;38.98084;9.14825;42.14037;0.017755682;0;100
469;QUC 3678-2016;R-019_Plot-469;0.4636508;46.95057;0.39663678;56.037895;-3.1711195;40.92118;14.084993;43.474495;5.33E-04;0;100
470;QUC 3509-2017;R-019_Plot-470;0.5099929;41.093613;0.3417446;59.47279;0.37204808;38.52632;19.24017;41.888508;1.76E-04;0;100
471;QUC 4538-2021;R-019_Plot-471;0.45036185;34.49558;0.3012032;51.66217;3.8070264;30.838482;20.672564;32.59844;0.005021142;0;100
472;QUC 3583-2021;R-019_Plot-472;0.42157578;32.808716;0.257163;47.859333;3.332838;25.765894;17.43065;27.376984;0.005109232;0;100
473;QUC 3526-2017;R-019_Plot-473;0.55603606;38.992523;0.3373161;64.0336;2.0710948;40.54392;23.295177;44.46384;3.52E-04;0;100
474;QUC 3627-2020;R-019_Plot-474;0.50469506;32.3842;0.26814085;56.77686;4.6598706;30.6201;22.563263;33.441242;2.64E-04;0;100
475;QUC 4552-2021;R-019_Plot-475;0.43853852;34.540787;0.29316682;50.2888;3.462303;29.578737;19.464306;31.250456;0.001148435;0;100
476;QUC 3612-2020;R-020_Plot-476;0.54881334;35.37692;0.25081563;61.46311;2.3332474;31.523531;19.791086;35.784363;3.83E-04;0;100
477;UC-1218;R-020_Plot-477;0.5677152;37.035164;0.3017357;64.40863;2.741068;37.516945;23.243198;41.812393;0.0044926;0;100
478;QUC 3522-2020;R-020_Plot-478;0.6071498;38.94134;0.30538076;68.81418;1.4688108;40.25598;22.792065;45.602127;2.64E-04;0;100
479;QUC 3221-2020;R-020_Plot-479;0.5337653;36.37992;0.24039674;59.861046;1.3619692;29.99565;17.458502;34.226833;0.001937984;0;100
480;QUC 4548-2021;R-020_Plot-480;0.50018483;39.03821;0.2856894;57.294796;0.67378056;32.787304;17.269892;36.361908;0.011627907;0;100
481;QUC 3534-2018  ;R-020_Plot-481;0.5385987;43.439816;0.37197274;63.398937;-0.9252925;43.339573;19.418085;47.230732;9.69E-04;0;100
482;QUEULE-INIA;R-020_Plot-482;0.54720193;38.842632;0.35245228;63.330875;2.5260494;41.398434;24.256138;44.86773;4.44E-04;0;100
483;QUC 3534-2018;R-020_Plot-483;0.48625657;46.75766;0.41279578;58.834637;-2.9974902;43.805668;15.669473;46.54861;9.77E-04;0;100
484;QUC 3632-2020;R-020_Plot-484;0.43634364;32.66527;0.27535057;49.639263;4.1175423;27.85084;19.691532;29.460058;8.81E-04;0;100
485;QUC 3635-2020;R-020_Plot-485;0.43481478;39.945724;0.32962066;50.943573;0.7919703;32.83596;16.705168;34.709885;2.66E-04;0;100
486;QUC 3626-2020;R-020_Plot-486;0.61315084;35.339157;0.2744832;68.41721;3.4345288;36.852158;24.546656;41.986732;2.66E-04;0;100
487;QUC 4540-2021;R-020_Plot-487;0.5246447;37.508442;0.36559826;60.946323;3.8958485;41.00873;25.987055;43.537357;3.55E-04;0;100
488;QUC 3527-2022;R-020_Plot-488;0.4998777;33.01193;0.2745927;56.430454;4.3867087;31.019114;22.258219;33.782253;3.58E-04;0;100
489;QUC 3677-2020;R-020_Plot-489;0.49406883;32.765385;0.2715448;55.75221;4.403667;30.444681;21.96379;33.1092;3.55E-04;0;100
490;QUC 3309-2019;R-020_Plot-490;0.48937365;40.462708;0.3297391;56.974182;0.5644817;36.18055;18.359627;39.20546;8.88E-05;0;100
491;QUC 3312-2019;R-020_Plot-491;0.4472979;36.198143;0.30367577;51.547523;2.7342713;31.073923;19.095125;32.998375;7.16E-04;0;100
492;QUC 3546-2020;R-020_Plot-492;0.4744104;36.44821;0.29909092;54.442364;2.5983007;32.232548;19.705881;34.75774;0.004026485;0;100
493;QUC 3618-2020;R-020_Plot-493;0.60010165;35.976364;0.29350048;67.47994;3.5109694;38.231647;25.141272;43.01379;3.61E-04;0;100
494;QUC 3311-2019;R-020_Plot-494;0.500805;33.27903;0.293051;56.797836;4.870273;32.689293;23.75484;35.241962;2.71E-04;0;100
495;QUC 3316-2019;R-020_Plot-495;0.496629;31.475647;0.26980293;55.850765;5.278685;30.251156;23.270567;32.767204;2.68E-04;0;100
496;QUC 3525-2022;R-020_Plot-496;0.58076733;34.3487;0.28081787;65.0808;4.2376065;35.76773;25.02202;40.068825;3.61E-04;0;100
497;QUC 3678-2016  ;R-020_Plot-497;0.5289354;41.551758;0.3625958;61.923447;0.43901116;41.60217;20.783295;45.088207;5.41E-04;0;100
498;QUC 3630-2020;R-020_Plot-498;0.4258841;27.562346;0.25503027;47.78917;6.489453;25.212364;21.974674;26.210472;1.80E-04;0;100
499;QUC 3211-2020;R-020_Plot-499;0.52079964;29.085068;0.24454439;57.788025;6.1406507;28.858742;24.262669;31.706898;2.73E-04;0;100
500;QUC 4605-2021;R-020_Plot-500;0.5312693;28.93866;0.25505477;58.976135;6.854221;30.247156;26.151316;33.089043;9.02E-05;0;100
501;QUC 3220-2020;R-021_Plot-501;0.5219379;28.45096;0.22418463;57.600906;5.647441;27.036654;22.647995;30.043024;4.51E-04;0;100
502;QUC 4562-2021;R-021_Plot-502;0.5010297;25.76955;0.23385721;55.27095;7.688154;26.650839;25.428135;28.79836;9.09E-05;0;100
503;QUC 3225-2020;R-021_Plot-503;0.61566305;33.732315;0.23769593;67.88806;3.315105;32.96373;22.61427;38.217297;0.005140693;0;100
504;QUC 4537-2021;R-021_Plot-504;0.5033307;29.2289;0.24382204;55.988907;5.8325496;28.038326;23.206758;30.644928;1.80E-04;0;100
505;QUC 3606-2021;R-021_Plot-505;0.4985341;29.372728;0.22617966;55.30844;4.927561;26.356506;20.971258;29.117935;3.61E-04;0;100
506;QUC 3607-2020;R-021_Plot-506;0.5560201;30.550043;0.22693145;61.341198;4.68226;28.960415;22.375391;32.80221;5.37E-04;0;100
507;QUC 3625-2020;R-021_Plot-507;0.5475686;31.209154;0.26084864;60.994564;5.585613;31.82999;25.046793;35.259285;3.61E-04;0;100
508;QUC 4568-2021;R-021_Plot-508;0.5133489;33.255295;0.27192426;57.834656;4.2491574;31.48585;22.403923;34.55006;0.002435065;0;100
509;CBC 509 CHILE/SOMAT_3.1//BOOMER_18/LOTUS_4/6/ZAMPULLIN_2/GUANAY/5/NETTA_4/DUKEM_12//RASCON_19/3/SORA/2*PLATA_12/4/GREEN_18/FOCHA_1//AIRON_1/7/ZAKA/3/AJAIA_12/F3LOCAL(SEL.ETHIO.135.85)//PLATA_13/4/SOOTY_9/RASCON_37//WODUCK/CHAM_3/8/SELIM//SOUAI/FUMA_1;R-021_Plot-509;0.52170235;33.58749;0.25420552;58.504288;3.4761982;30.346672;20.78109;33.821037;4.47E-04;0;100
510;QUC 3448-2017  ;R-021_Plot-510;0.6026347;37.46206;0.28778386;67.84517;2.1484854;38.008728;22.878275;43.205593;4.47E-04;0;100
511;QUC 3653-2020;R-021_Plot-511;0.5176088;32.92834;0.25674534;58.040874;3.9582338;30.306;21.471205;33.580936;8.88E-05;0;100
512;QUC 3529-2022;R-021_Plot-512;0.51046544;32.59019;0.25026196;57.173412;3.91374;29.36308;20.902657;32.53529;2.66E-04;0;100
513;QUC 3619-2020;R-021_Plot-513;0.5219677;33.550236;0.25114614;58.48426;3.405582;30.08439;20.556126;33.58845;2.68E-04;0;100
514;QUC 3517-2017;R-021_Plot-514;0.5901795;41.438717;0.33578545;67.946686;0.10680023;42.749027;21.445702;47.83982;3.55E-04;0;100
515;QUC 3529-2017  ;R-021_Plot-515;0.47671247;43.89151;0.3887629;56.965237;-1.0318067;40.762234;17.480343;43.195705;8.88E-04;0;100
516;QUC 4596-2021;R-021_Plot-516;0.49326214;31.93379;0.27794027;55.65338;5.216862;30.839037;23.39464;33.262547;4.44E-04;0;100
517;QUC 3603-2020;R-021_Plot-517;0.5687308;36.046898;0.29739565;64.3152;3.3936837;37.014774;24.082186;41.199417;7.93E-04;0;100
518;QUC 3648-2020;R-021_Plot-518;0.5576373;37.44112;0.31824476;63.677532;2.833419;38.60263;23.732697;42.55123;0.00337358;0;100
519;QUC 4547-2021;R-021_Plot-519;0.5847077;36.28008;0.30201983;66.075714;3.4410748;38.33227;24.903156;42.782593;3.55E-04;0;100
520;QUC 4344-2021;R-021_Plot-520;0.540747;39.584335;0.28729403;61.67423;0.4305129;35.106968;18.28681;39.52571;0.002114165;0;100
521;QUC 3589-2020;R-021_Plot-521;0.43589926;38.84411;0.26556772;50.078556;0.29750466;27.788868;13.941801;30.306633;0.042635659;0;100
522;QUC 3658-2020;R-021_Plot-522;0.49024525;39.19793;0.30759722;56.58147;0.9971729;34.16629;18.226973;37.3105;0.009954193;0;100
523;QUC 3521-2020;R-021_Plot-523;0.5815782;37.97773;0.30820447;66.08279;2.2408657;39.02161;23.234713;43.662113;7.05E-04;0;100
524;QUC 3210-2020;R-021_Plot-524;0.55009407;34.984734;0.27231032;61.868492;3.2751257;33.544945;22.181232;37.53637;7.05E-04;0;100
525;QUC 4551-2021;R-021_Plot-525;0.4403684;31.37081;0.24354887;49.587627;3.876382;25.45475;18.326313;27.359386;0.006316394;0;100
526;QUC 3306-2019;R-022_Plot-526;0.5422359;37.909683;0.31351435;62.04355;2.2657652;37.38783;22.142569;41.210377;0.001052732;0;100
527;QUC 4545-2021;R-022_Plot-527;0.55332655;36.08696;0.30900156;62.899624;3.6331227;37.303135;24.411434;41.04943;0.001585624;0;100
528;QUC 3418-2020;R-022_Plot-528;0.5677752;40.43582;0.3161654;65.10495;0.477952;39.41472;20.434832;44.150448;6.17E-04;0;100
529;QUC 3598-2020;R-022_Plot-529;0.44555092;34.66163;0.27853405;50.876186;3.028634;28.825432;18.57629;30.835468;0.008280479;0;100
530;QUC 3534-2020;R-022_Plot-530;0.5663633;40.349194;0.32477605;65.09529;0.7166095;40.154247;21.099936;44.728794;2.64E-04;0;100
